District,Crop,Season,Area (hectares),Yield (quintals),Production (metric tons),Average_Price,Price_Volatility,Price_Trend,Cost_of_Cultivation,Disease_Risk,Disease_Count,Weather_Risk,Yield_Score,Price_Level_Score,Price_Trend_Score,Price_Score,Price_Stability_Score,Cost_Score,Disease_Score,Weather_Score,Risk_Adjusted_Score,Data_Coverage,Rank
Jodhpur,Wheat,Kharif,16490.142459033697,30.69198608958731,5061.152229679753,2618.2501495852725,309.97669689325267,25.493473045584977,74052.11,40.666666666666664,3.0,,25.946268498688863,77.5514113746072,53.084000621902305,67.76444707352525,47.71406073427814,76.34356921253551,100.0,50,56.14810103139931,100.0,14.0
Kota,Gram,Rabi,16943.06561430208,45.81823176835924,7763.013071826106,2436.3381567497795,323.30472331074475,-263.3059087038084,46863.89,,,,63.61473417921258,29.58250391224372,10.236853336240564,21.844243681842457,42.78284853811476,93.81821196798955,,50,53.62521261898586,83.33333333333334,17.0
Jaipur,Wheat,Rabi,14297.539875829993,29.752628902482016,4253.893981440086,2503.988940727061,297.6413670220433,-33.230135454014736,74052.11,40.666666666666664,3.0,9.014809614544701,23.607013622385555,47.42153775371899,44.37158895645326,46.201558234812694,52.277986945046564,76.34356921253551,100.0,50,51.93529847619624,100.0,21.0
Hanumangarh,Coriander,Rabi,19737.63844652217,42.02651077850936,8295.040749150847,2553.2448768416994,256.60488801339017,4.444493545754708,,,,,54.17231766625552,60.40998015724901,49.96111054028599,56.230432310463804,67.46099900071675,,,50,56.54442097168555,66.66666666666666,14.0
Hanumangarh,Citrus,Rabi,13591.576842195143,38.19593346538869,5191.429647542034,2571.402333724482,212.84995453571568,-33.963846166040575,,,,,44.63313834045777,65.19797327076363,44.26273342237002,56.82387733140618,83.64980706942299,,,50,56.760708149078845,66.66666666666666,12.0
Sri Ganganagar,Wheat,Rabi,13609.746921562612,40.476299769816144,5508.721961885008,2534.583143620669,359.8771878092114,30.532576180596187,74052.11,40.666666666666664,3.0,,50.31187063804941,55.489012935607654,53.83161716077988,54.82605462567655,29.251469072817542,76.34356921253551,100.0,50,56.882434327450625,100.0,16.0
Udaipur,Cotton,Rabi,15725.886814698102,24.569754522436728,3863.811786847568,2499.17219893514,267.3479686992934,83.66972057610141,91569.22,46.875,2.0,,10.700246810764392,46.15139696923693,61.71520416315569,52.376919846804434,63.48618616322375,65.08482408843429,62.65664160401001,50,46.201761370201694,100.0,35.0
Udaipur,Gram,Rabi,9825.2465024609,32.558392734914605,3198.9423434446817,2603.7957709132465,322.89173511630725,155.1937871808549,46863.89,,,,30.59412865899802,73.73989382627603,72.32673039884088,73.17462845530197,42.935649287264596,93.81821196798955,,50,55.885041160108905,83.33333333333334,14.0
Udaipur,Guava,Kharif,11961.506638996729,46.59791993069445,5573.813286144397,2627.1128861523953,168.65883181758016,122.41373154589571,,,,,65.55636975806952,79.88845239991265,67.46338248128173,74.91842443246028,100.0,,,50,71.83036976801259,66.66666666666666,1.0
Bhilwara,Garlic,Rabi,12275.927773436368,42.36129735790658,5200.24226754722,2574.8737705489516,323.56940331748535,-332.3045959409121,,,,,55.00602730208551,66.11336663872594,0.0,39.66801998323556,42.68492006495336,,,50,47.45046510921532,66.66666666666666,32.0
