District,Crop,Season,Area (hectares),Yield (quintals),Production (metric tons),Average_Price,Price_Volatility,Price_Trend,Cost_of_Cultivation,Disease_Risk,Disease_Count,Weather_Risk,Data_Coverage,Yield_Score,Price_Score,Price_Trend_Score,Cost_Score,Disease_Score,Weather_Score,Risk_Adjusted_Score,Rank,State,Average_Temperature,Max_Temperature,Min_Temperature,Total_Rainfall,Average_Wind_Speed,pH Level,Organic Matter (%),Nitrogen Content (kg/ha),Phosphorus Content (kg/ha),Potassium Content (kg/ha)
Ajmer,Bajra,Kharif,10734.56799977447,53.51135499585205,5744.212789630452,2458.255680619733,277.14934713415784,368.8814525063385,37245.85,62.48062015503876,,50.4288,83.33333333333334,82.7727033425417,35.362000128706555,61.93899504701888,100.0,0.0,50,59.55642511842957,1,Rajasthan,,,,,,7.47218577008081,2.020276741268638,30.39835968127665,19.66649978180703,39.96352250972864
Ajmer,Citrus,Kharif,15328.184383814678,49.001180322541565,7510.991270084687,2584.4572310757026,254.93179490866285,115.4762200740788,69371.63,62.48062015503876,,50.4288,66.66666666666666,71.54114175729073,68.64045748090398,50.23851138347568,79.3518469123646,0.0,50,58.55193067987952,2,Rajasthan,,,,,,7.47218577008081,2.020276741268638,30.39835968127665,19.66649978180703,39.96352250972864
Ajmer,Oilseeds,Kharif,16101.861940204022,58.511930362151695,9421.510245461985,2447.799582163897,314.04850300284903,150.63294784197114,69371.63,62.48062015503876,,50.4288,66.66666666666666,95.22549602940644,32.60480082904881,51.86180351112274,79.3518469123646,0.0,50,57.50938173668448,3,Rajasthan,,,,,,7.47218577008081,2.020276741268638,30.39835968127665,19.66649978180703,39.96352250972864
Ajmer,Gram,Kharif,15312.603311855628,47.56145524702669,7282.896971322942,2514.4346222362988,263.5648637641572,106.2115637166562,46863.89,62.48062015503876,,50.4288,83.33333333333334,67.9558347519622,50.17599017814527,49.8107342641246,93.81821196798955,0.0,50,56.06849865843672,4,Rajasthan,,,,,,7.47218577008081,2.020276741268638,30.39835968127665,19.66649978180703,39.96352250972864
Ajmer,Fennel,Kharif,14458.560259228125,59.67567978385601,8628.244121652837,2436.16073414115,328.5196270392623,-169.3802570226244,69371.63,62.48062015503876,,50.4288,66.66666666666666,98.12354859863838,29.53571882368292,37.08582892015912,79.3518469123646,0.0,50,55.40368228927474,5,Rajasthan,,,,,,7.47218577008081,2.020276741268638,30.39835968127665,19.66649978180703,39.96352250972864
Ajmer,Wheat,Rabi,16916.190666087554,43.80870564174411,7410.764174702489,2437.9031415239688,241.12624618577496,301.95155959729755,74052.11,48.91472868217054,129.0,50.4288,100.0,58.61046758576774,29.995179341955385,58.84864008051568,76.34356921253551,100.0,50,58.43048415879069,1,Rajasthan,,,,,,7.47218577008081,2.020276741268638,30.39835968127665,19.66649978180703,39.96352250972864
Ajmer,Pulses,Rabi,13014.640605694836,51.34991147351465,6683.00642962039,2522.4990034676835,334.52840056174574,111.41490434695515,69371.63,62.48062015503876,,50.4288,66.66666666666666,77.39012111621845,52.302510541095394,50.05098819043978,79.3518469123646,0.0,50,56.718457652694354,2,Rajasthan,,,,,,7.47218577008081,2.020276741268638,30.39835968127665,19.66649978180703,39.96352250972864
Ajmer,Chilli,Rabi,11727.100709354405,44.769456966572896,5250.159305501085,2608.7949394649886,264.6406880306397,-60.54216420518196,69371.63,62.48062015503876,,50.4288,66.66666666666666,61.00299968364447,75.05813925863812,42.11121184046682,79.3518469123646,0.0,50,55.98183658556346,3,Rajasthan,,,,,,7.47218577008081,2.020276741268638,30.39835968127665,19.66649978180703,39.96352250972864
Ajmer,Bajra,Rabi,17698.79962629975,41.77898059077667,7394.378060672228,2458.255680619733,277.14934713415784,368.8814525063385,37245.85,62.48062015503876,,50.4288,83.33333333333334,53.55590017711028,35.362000128706555,61.93899504701888,100.0,0.0,50,52.25222432707172,4,Rajasthan,,,,,,7.47218577008081,2.020276741268638,30.39835968127665,19.66649978180703,39.96352250972864
Ajmer,Coriander,Rabi,17123.255806366426,44.19129462343479,7566.988422515791,2499.974432970563,301.7801518738215,95.37076220261588,69371.63,62.48062015503876,,50.4288,66.66666666666666,59.56321820430273,46.36294041729961,49.31018177040823,79.3518469123646,0.0,50,50.96269693695153,5,Rajasthan,,,,,,7.47218577008081,2.020276741268638,30.39835968127665,19.66649978180703,39.96352250972864
