District,Crop,Season,Risk_Adjusted_Score,Rank,Yield_Score,Price_Score,Price_Trend_Score,Price_Stability_Score,Cost_Score,Disease_Score,Weather_Score
Ajmer,Fennel,Kharif,54.83847913616027,1.0,98.12354859863838,42.96382051827045,63.10597306015176,40.85339581478181,80.08169191491832,1.0,0.5542315085381208
Ajmer,Gram,Kharif,53.46057074470961,2.0,67.9558347519622,55.19195908351546,62.71591244157075,64.8858902612758,93.81821196798955,1.0,0.5542315085381208
Ajmer,Coriander,Kharif,51.98496960305105,3.0,73.90242113792262,53.3961130814092,63.94587207757356,50.74668548306872,80.08169191491832,1.0,0.5542315085381208
Ajmer,Bajra,Kharif,51.925663726841,4.0,82.7727033425417,40.08267055101084,47.16367618446727,59.85979202479504,100.0,1.0,0.5542315085381208
Ajmer,Fenugreek,Kharif,49.67624586905872,5.0,89.2810311938332,40.76497116265715,48.4180855355906,37.76688665384755,80.08169191491832,1.0,0.5542315085381208
Ajmer,Barley,Rabi,48.89113783839806,1.0,60.7796014771654,46.702355813995695,55.47188459650668,79.4437577474129,79.35184691236462,1.0,0.5542315085381208
Ajmer,Coriander,Rabi,48.40016886964607,2.0,59.56321820430273,53.3961130814092,63.94587207757356,50.74668548306872,80.08169191491832,1.0,0.5542315085381208
Ajmer,Fennel,Rabi,47.61181743553839,3.0,69.21690179615086,42.96382051827045,63.10597306015176,40.85339581478181,80.08169191491832,1.0,0.5542315085381208
Ajmer,Chilli,Rabi,45.82767815046411,4.0,61.00299968364447,57.13501290465683,30.250323373684896,64.4878480022325,80.08169191491832,1.0,0.5542315085381208
Ajmer,Guava,Rabi,45.553665663443866,5.0,67.13490435790162,30.669377217709485,41.60962409752023,82.31028173452884,80.08169191491832,1.0,0.5542315085381208
Alwar,Chilli,Kharif,58.84728871877231,1.0,94.11526595779944,63.81823640895804,62.17500531503285,50.752979038208615,80.08169191491832,1.0,0.4510705496321863
Alwar,Mustard,Kharif,58.09195574514858,2.0,75.39621226072478,65.27165973813128,84.04990495330533,54.27808742890274,80.08169191491832,1.0,0.4510705496321863
Alwar,Mustard,Kharif,57.96731399091733,3.0,74.89764524379979,65.27165973813128,84.04990495330533,54.27808742890274,80.08169191491832,1.0,0.4510705496321863
Alwar,Chilli,Kharif,57.72644444591071,4.0,89.63188886635304,63.81823640895804,62.17500531503285,50.752979038208615,80.08169191491832,1.0,0.4510705496321863
Alwar,Chilli,Kharif,54.823632108254436,5.0,78.02063951572794,63.81823640895804,62.17500531503285,50.752979038208615,80.08169191491832,1.0,0.4510705496321863
Alwar,Pulses,Rabi,58.24014106373421,1.0,91.05012024464342,42.10785297844382,66.87223438308435,88.71929002966881,80.08169191491832,1.0,0.4510705496321863
Alwar,Citrus,Rabi,57.118905896607025,2.0,58.4690848826016,64.41654788670856,99.85083462922822,64.8742365777563,80.08169191491832,1.0,0.4510705496321863
Alwar,Garlic,Rabi,56.981428087658216,3.0,57.59664456603974,69.69668330605771,93.28815666316306,64.96430539007227,80.08169191491832,1.0,0.4510705496321863
Alwar,Bajra,Rabi,54.72028610952798,4.0,78.71501971770812,37.867700435039,66.95438363447617,72.79726492958511,100.0,1.0,0.4510705496321863
Alwar,Garlic,Rabi,54.19446181078579,5.0,46.44877945855004,69.69668330605771,93.28815666316306,64.96430539007227,80.08169191491832,1.0,0.4510705496321863
Bhilwara,Coriander,Kharif,62.849240296865595,1.0,68.0956425601091,91.51409718545416,78.7852429636354,75.41131432856531,80.08169191491832,1.0,0.5542315085381208
Bhilwara,Barley,Kharif,60.58736007354777,2.0,75.27222198281146,73.32703978842838,80.71896937587162,69.05443371688203,79.35184691236462,1.0,0.5542315085381208
Bhilwara,Gram,Kharif,56.92304111485979,3.0,70.66119026447667,65.30654073315276,77.62730080095115,50.15095934314628,93.81821196798955,1.0,0.5542315085381208
Bhilwara,Guava,Kharif,56.383358310838304,4.0,69.21559245077444,75.64777249977652,91.46650673607468,20.66337345432541,80.08169191491832,1.0,0.5542315085381208
Bhilwara,Fennel,Kharif,54.3998950921921,5.0,80.32071753810183,47.9252115839154,51.23722010446628,88.85498032867972,80.08169191491832,1.0,0.5542315085381208
Bhilwara,Barley,Rabi,62.534910100086805,1.0,83.06242208896758,73.32703978842838,80.71896937587162,69.05443371688203,79.35184691236462,1.0,0.5542315085381208
Bhilwara,Coriander,Rabi,60.98591399681869,2.0,60.64233735992151,91.51409718545416,78.7852429636354,75.41131432856531,80.08169191491832,1.0,0.5542315085381208
Bhilwara,Coriander,Rabi,57.429938827097324,3.0,46.41843668103603,91.51409718545416,78.7852429636354,75.41131432856531,80.08169191491832,1.0,0.5542315085381208
Bhilwara,Coriander,Rabi,57.292414647106774,4.0,45.86833996107382,91.51409718545416,78.7852429636354,75.41131432856531,80.08169191491832,1.0,0.5542315085381208
Bhilwara,Cumin,Rabi,56.732330754012004,5.0,100.0,39.60571533182163,52.67488022664455,77.46363311305359,80.08169191491832,1.0,0.5542315085381208
Hanumangarh,Chilli,Kharif,54.753866074180074,1.0,80.92770830057303,60.80904393511447,53.6828163271355,61.5443151648855,80.08169191491832,1.0,0.4510705496321863
Hanumangarh,Pomegranate,Kharif,54.48333139133089,2.0,86.9730994716033,51.365294306016125,64.30587889215438,46.6783958194864,80.08169191491832,1.0,0.4510705496321863
Hanumangarh,Pulses,Kharif,52.112212751269475,3.0,78.89900092877383,44.04470458818278,54.89083552419194,71.9162002635562,80.08169191491832,1.0,0.4510705496321863
Hanumangarh,Barley,Kharif,50.457813068905416,4.0,67.68940943402323,61.08654064024771,59.17873841779833,43.6105007348063,79.35184691236462,1.0,0.4510705496321863
Hanumangarh,Citrus,Kharif,47.188002548895,5.0,50.66224046344365,56.82387733140618,44.26273342237002,83.64980706942299,80.08169191491832,1.0,0.4510705496321863
Hanumangarh,Citrus,Rabi,57.336372968648654,1.0,91.25572214245828,56.82387733140618,44.26273342237002,83.64980706942299,80.08169191491832,1.0,0.4510705496321863
Hanumangarh,Tomato,Rabi,51.48550102018307,2.0,68.03307864255265,66.70634733601517,99.7682443183508,36.84115664800871,80.08169191491832,-55.66666666666666,0.4510705496321863
Hanumangarh,Pomegranate,Rabi,50.2037533254068,3.0,69.85478720790691,51.365294306016125,64.30587889215438,46.6783958194864,80.08169191491832,1.0,0.4510705496321863
