Crop,State,Year,Cost_of_Cultivation
Wheat,Rajasthan,2020-21,74052.11
Maize,Rajasthan,2020-21,63029.7
Jowar,Rajasthan,2020-21,40325.97
Bajra,Rajasthan,2020-21,37245.85
Barley,Rajasthan,2020-21,69371.63
Moong,Rajasthan,2020-21,30697.5
Urad,Rajasthan,2020-21,37638.32
Gram,Rajasthan,2020-21,46863.89
Groundnut,Rajasthan,2020-21,84027.64
Soyabean,Rajasthan,2020-21,44919.2
Sesamum,Rajasthan,2020-21,27971.38
R & M,Rajasthan,2020-21,58883.73
Cotton,Rajasthan,2020-21,91569.22
Onion,Rajasthan,2020-21,192832.55
